"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33671859321122","","","","","","","","","","8.94870851995996","","","","","10.2288010405243","","","","10.8976584859717","","","","",
"Afghanistan","AFG","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.17558808319085","","","","","","","","","","11.0309239785858","","","","","16.3899646832828","","","","17.2884637273119","","","","",
"Africa Western and Central","AFW","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.31794564332008","","","","","","","","","","7.60492808759315","","","","","8.56181459297848","","","","8.85233522275346","","","","",
"Angola","AGO","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.95205337204632","","","","","","","","","","7.54860522335174","","","","","8.48617579247668","","","","9.08828741319193","","","","",
"Albania","ALB","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.74830028075972","","","","","","","","","","6.14152050888872","","","","","4.12681470034922","","","","3.03599641131377","","","","",
"Andorra","AND","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4578845885962","","","","","","","","","","9.96261414072677","","","","","14.1986790637029","","","","10.1279130506063","","","","",
"United Arab Emirates","ARE","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8428054209341","","","","","","","","","","25.8496797310964","","","","","21.3335339685728","","","","15.8086878707137","","","","",
"Argentina","ARG","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9925261170518","","","","","","","","","","5.90790513617686","","","","","6.21245052686423","","","","5.70904330858032","","","","",
"Armenia","ARM","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.73461875257113","","","","","","","","","","4.75483687569386","","","","","4.41768970251022","","","","4.67775117531801","","","","",
"American Samoa","ASM","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.64653907896991","","","","","","","","","","6.80745779974433","","","","","5.2088948949001","","","","5.37279775035651","","","","",
"Australia","AUS","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86113345690273","","","","","","","","","","5.58861532137959","","","","","5.85702495846548","","","","5.94459221316378","","","","",
"Austria","AUT","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.67049588455268","","","","","","","","","","5.43325113185383","","","","","5.37756284546725","","","","5.44531462854727","","","","",
"Azerbaijan","AZE","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18282225580827","","","","","","","","","","4.8011839760545","","","","","4.37324129505155","","","","3.7636405524941","","","","",
"Burundi","BDI","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2907324764855","","","","","","","","","","9.74186135839884","","","","","11.9250345568974","","","","12.0613038251609","","","","",
"Belgium","BEL","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.49793097155456","","","","","","","","","","6.22276976538698","","","","","6.20055951618006","","","","6.12096377150522","","","","",
"Benin","BEN","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.22864189862323","","","","","","","","","","8.40497407596057","","","","","8.99444025754243","","","","9.19147102400214","","","","",
"Burkina Faso","BFA","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.73057900507668","","","","","","","","","","7.88334301348522","","","","","9.92548775907268","","","","11.1299696099475","","","","",
"Bangladesh","BGD","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.64088937832296","","","","","","","","","","7.59040285131126","","","","","7.48848529773928","","","","7.13149266345035","","","","",
"Bulgaria","BGR","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.93880966071457","","","","","","","","","","2.73246255710327","","","","","2.70872028201864","","","","2.47491821960442","","","","",
"Bahrain","BHR","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9199306915944","","","","","","","","","","10.5058199179016","","","","","9.96066556020824","","","","8.89231702659159","","","","",
"Bahamas, The","BHS","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7708854030443","","","","","","","","","","11.9806420607558","","","","","12.4535254221082","","","","13.8557689084434","","","","",
"Bosnia and Herzegovina","BIH","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.26656324317548","","","","","","","","","","4.53121916421062","","","","","4.19807008705015","","","","3.76658780271476","","","","",
"Belarus","BLR","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2860243755909","","","","","","","","","","8.72222150541058","","","","","6.40337946850778","","","","5.71450571457612","","","","",
"Belize","BLZ","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3727360228888","","","","","","","","","","18.6633499374265","","","","","18.8572010861558","","","","18.8455291613112","","","","",
"Bermuda","BMU","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.53087533484945","","","","","","","","","","9.36407931995113","","","","","8.87878422709081","","","","8.7017791007376","","","","",
"Brazil","BRA","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.850995446974","","","","","","","","","","13.157491731561","","","","","12.4539423731105","","","","11.5536597805284","","","","",
