"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.951809859504","","","","","","","","","","26.8955675520785","","","","","","","","","","28.2467356822473","","","","","","","","","42.3600499131128","","","","",
"Afghanistan","AFG","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","","","10.3","","13.6","18.6","","22.8","","21.8","21.2","","","","22.5","22.5","","","","","","","",
"Africa Western and Central","AFW","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.06183247987089","","","","","","","","","","15.4060279048143","","","","","","","","","","17.7731810980416","","","","","","","","","19.1597537149594","","","","",
"Angola","AGO","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","","","","6.3","","","","","","","","20","","","","","","","13.7","","","","","","","",
"Albania","ALB","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.5","","75.1","","","60.1","","","","69.3","","","","","","","","","46","","","","","",
"Andorra","AND","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5261290268442","","","","","","","","","","45.085367011404","","","","","","","","","","49.6792573503182","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.4","","","","","","","70.1","","","",
"Armenia","ARM","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","","","","","","","","","60.5","","","","","53.1","","","","","54.9","","","","","","57.1","","","","","","","",
