"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.2754405077923","66.301189229865","66.2961184032787","66.4651033907667","66.76054092399","66.847121716186","66.8390071317429","66.7590274581648","66.6604408338478","66.6528602022545","66.6776897010124","66.6976598552687","66.7299848769247","66.8321555021761","66.9389433582024","66.828784003234","66.6661645115863","66.4739491065721","66.0573036694255","65.2484166765516","65.6540467642026","65.7843054871316","65.8832103786559","65.0930668007484","64.7230227937783","64.1639063671507","63.4678131241757","63.0769433739783","62.6086595977002","60.8607715076156","61.0661154052549","61.6567788664629","63.8966859801838",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.389","43.361","43.354","43.311","43.238","43.143","43.075","42.999","42.937","42.875","42.832","42.82","42.835","42.833","42.863","42.885","42.977","43.002","43.119","43.182","43.232","43.267","43.297","43.368","42.896","42.449","42.014","40.468","38.922","36.71","36.022","32.333","32.402",
"Africa Western and Central","AFW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4297249051961","73.2591772798306","73.204114529273","73.1990532763119","73.1634247191353","73.1015725337255","73.044180624615","72.9652345532058","72.7954871272435","72.6557413725621","72.5811324252475","72.4406883787023","72.3366763232848","72.2101260247274","72.0295673591222","71.9572842519078","71.7820585444422","71.4787299396209","71.1310861814273","70.8182638195083","70.6163640667117","70.3414908315031","70.2029297620471","69.7219917893231","69.261143149226","69.214770903607","68.6916457613017","68.4396932763544","68.1944452214505","67.3673798157328","67.5488953993828","68.3240073999617","69.0758711980025",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.287","64.229","63.937","63.965","64.298","64.851","64.922","64.754","64.566","64.479","64.444","64.587","64.558","64.631","64.63","64.74","64.774","64.715","64.562","64.421","64.35","64.278","64.098","63.927","63.624","63.319","63.05","62.818","62.645","62.257","64.306","64.573","64.739",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.673","45.414","47.882","50.157","53.237","53.075","51.925","49.41","48.222","48.939","48.766","48.945","48.611","48.121","47.419","46.704","45.609","46.245","47.473","47.426","51.858","49.371","44.101","43.775","45.955","48.477","50.152","52","53.391","51.026","52.115","54.296","54.324",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9458016413714","41.9770059758945","41.8080203288508","41.9195291733008","41.4770515772164","41.8021412161841","41.8426376470809","41.6350634406697","41.8895482210507","41.3484120105532","40.8928478977403","40.2908760234882","40.4251990627553","41.0249882897425","41.2678498722568","41.8100466259192","42.2418403361445","42.3160290457553","42.6112500906771","42.9756002786017","42.4400128252053","42.018634884026","42.0896175895554","42.0951506413331","41.6092288777829","41.7032967692961","40.8665913908975","40.6140399224542","40.5859645928775","39.1268969539862","39.5234000905246","40.2566246158422","41.0815491921348",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.441","73.668","74.027","74.42","74.809","74.655","73.935","73.338","72.971","72.838","72.827","72.993","73.272","73.796","74.315","74.948","75.075","74.922","74.387","74.528","74.908","75.283","75.714","76.136","76.612","77.166","76.82","77.339","77.614","75.398","74.661","75.023","75.789",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.669","56.831","55.275","54.716","49.937","51.39","53.487","55.125","53.767","52.975","50.969","48.336","51.646","53.567","54.434","55.567","55.937","55.692","55.526","55.544","56.296","56.006","55.705","55.124","54.743","54.249","53.899","54.1","54.355","49.602","55.085","57.3","58.462",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.287","64.005","61.278","59.924","59.336","57.197","55.804","56.335","55.005","54.923","54.762","54.541","54.324","54.134","54.004","53.97","54.073","50.026","49.445","49.482","49.94","50.776","51.437","50.961","50.585","51.09","51.034","50.226","51.612","51.101","53.381","53.885","53.816",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.218","56.24","55.787","56.943","58.283","58.233","57.967","58.281","58.582","59.303","59.164","59.459","59.935","60.144","61.26","61.747","62.415","62.783","61.856","62.066","62.184","61.836","61.343","60.849","61.135","61.242","61.599","62.232","62.607","60.901","62.591","64.216","64.334",
"Austria","AUT","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.168","54.896","54.759","56.619","56.326","55.309","55.097","55.202","55.823","55.69","55.572","55.843","55.921","54.203","54.765","55.447","56.506","57.154","56.703","56.953","57.131","57.252","57.122","56.758","56.73","57.015","57.292","57.914","58.121","57.224","56.715","57.843","57.649",
"Azerbaijan","AZE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.257","72.353","72.414","72.997","73.541","72.846","71.718","70.371","69.223","67.753","66.459","65.205","64.066","62.538","61.711","60.511","57.876","57.259","57.482","57.437","57.873","58.398","58.82","59.68","60.386","61.419","61.787","62.195","61.957","62.356","58.411","60.401","59.956",
"Burundi","BDI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.724","86.206","85.534","84.795","84.207","83.408","82.485","81.557","80.841","80.069","79.279","78.474","77.687","76.826","75.956","74.981","75.812","76.607","76.892","77.155","77.307","77.448","77.59","77.697","78.374","78.899","79.156","79.189","78.966","77.738","78.255","78.436","78.185",
"Belgium","BEL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.757","46.204","45.616","45.384","45.73","45.62","45.969","46.014","47.384","48.802","47.654","47.57","47.319","48.182","48.797","48.73","49.654","49.949","49.282","49.67","49.491","49.306","49.1","49.008","48.842","49.001","49.555","50.48","51.005","50.422","50.671","51.536","51.39",
"Benin","BEN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.976","71.07","71.041","71.03","71.097","71.099","71.164","71.161","71.191","71.212","71.242","71.255","71.228","71.212","71.176","71.17","71.174","71.195","71.17","71.118","69.977","70.556","71.181","71.746","72.18","72.6","73.082","73.653","74.183","73.668","74.635","74.507","74.339",
"Burkina Faso","BFA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.851","81.224","80.667","79.914","79.299","78.693","78.028","77.298","76.483","75.634","74.821","73.953","73.205","71.868","70.648","70.043","69.503","68.542","67.557","66.702","65.77","64.877","63.859","62.834","60.542","58.3","56.089","53.889","51.692","48.931","47.127","44.896","44.87",
"Bangladesh","BGD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.541","55.678","55.789","55.915","56.037","56.158","56.203","56.226","56.231","56.22","56.074","55.874","55.655","55.635","55.643","55.986","55.859","55.704","55.527","56.597","55.941","55.3","54.649","54.308","53.972","53.65","55.778","56.339","56.868","56.598","57.925","59.031","58.987",
"Bulgaria","BGR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.49","45.172","44.085","45.568","46.055","44.942","44.051","44.428","43.239","41.851","41.22","41.731","43.272","44.781","45.075","47.358","49.864","51.785","50.412","48.003","46.633","46.65","46.957","47.801","49.252","49.272","51.99","52.434","54.156","52.87","52.381","54.249","54.388",
"Bahrain","BHR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.706","65.887","65.789","65.555","65.434","65.334","65.458","65.668","65.973","66.39","66.579","66.532","66.549","66.764","67.163","67.749","68.54","69.445","70.364","70.934","70.327","70.727","70.704","70.357","70.532","71.117","71.459","71.249","70.704","68.346","68.146","69.477","70.06",
"Bahamas, The","BHS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.468","61.971","63.886","63.431","65.734","65.35","66.602","68.234","68.496","68.755","68.904","67.245","65.761","66.113","66.046","67.907","67.531","67.092","62.411","62.179","62.024","62.377","60.689","62.421","63.737","63.22","65.425","65.415","65.923","60.176","62.365","65.358","65.939",
"Bosnia and Herzegovina","BIH","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.978","44.046","42.837","41.661","40.861","40.473","40.151","39.649","39.129","38.679","38.127","37.6","36.986","36.51","35.971","35.505","36.594","39.481","39.037","37.303","37.068","36.667","36.779","36.578","36.365","37.36","39.629","40.473","41.532","41.016","41.54","42.656","44.155",
"Belarus","BLR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.861","57.351","54.067","51.583","48.785","44.623","48.618","50.359","51.189","52.051","52.852","53.563","54.208","54.832","55.453","56.133","56.825","57.663","58.517","59.015","59.473","59.866","60.134","60.338","60.474","60.605","60.821","61.326","61.556","61.414","61.503","61.733","61.306",
