"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8984771573604","86.6396761133603","82.5309992706054","79.6377054679638","79.928664072633","74.3860109498193","70.9967837702649","64.5643135803172","62.7312132409209","64.6655585140977","68.0752981880873","64.5941526531523","65.0612625386555","65.5292950658025","62.9185634689552","60.2181860904717","69.7510127562388","73.1035458041627","76.5483116318725","78.2754936773626","72.8529128494511","71.8204350098217","72.5486898260087","72.2527739552586","73.2345915426225","52.9926035342708","70.7400428730839","87.5702798253937","88.3437864283018",
"Africa Eastern and Southern","AFE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","28.1007534277667","22.9224137870878","20.6508876382398","20.2510933183959","20.9141479554716","22.2219084982602","23.552638100837","24.7975463148655","23.8888589014938","22.1959098512899","20.4451375256731","18.6200924813427","21.616784641806","22.800044012678","23.7984067601648","24.4765362242291","25.5496165623586","24.6455602675854","24.9651311416015","24.884895318305","25.6908081211939","27.3571698378178","27.8988181505684","25.6102704947003","25.7860418536384","27.7261835442725","29.6878407673434","32.0692424607453","35.6957710621879","27.406678822388","29.6308940992921","31.5530197881467","30.0686034828733","29.3055976283798","28.6996362815539","24.1273589335263","23.3125197545429","23.0605300095691","25.4022827003631","23.9787364008059","22.1089850991383","26.0156080050891","27.63144119713","24.3483372544611",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4208171386207","14.342152797537","18.3800424016375","16.7751362822863",
"Africa Western and Central","AFW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0849959046266","54.3213388113835","58.3803583199793","65.5262677696291","63.4678635039226","67.9057833724671","72.4750287994632","58.7573002977584","61.5431158851524","60.6699475151848","55.9401306344811","50.7470857909554","44.6950294609853","29.7545979506807","28.1244854472006","29.0041020030504","40.8362898299819","40.7907550532833","38.314540742558","47.7452759675607","44.391642097512","40.8567793904075",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.6408294970517","11.620333234637","10.1971272832635","11.4671662578473","16.8417629634305","20.1152855452625","21.3334108322137","20.9456161731319","20.8473864531722","22.2175607600291","23.0129911473171","25.2096077274316","28.2478654166425","25.3024181160681","25.2407486083138","27.9794352415409","29.2415371390963","28.9374877608303","28.9163151372576","28.2130014584625","27.2673911512668","28.9778991754721","31.5697983098872","31.1140103851547","30.9361353522288","22.5407585571141","31.1330200144264","37.197084813482","38.6650817896799",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9609914167472","39.2543217945004","42.5484633196434","47.4575900966994","52.1094848184771","53.6923017196065","53.671555092292","56.6488277931154","46.1574011968803","48.6917462960717","52.9974729335849","54.5173531354918","52.7343784360638","48.9842932675308","40.8736269983839","38.1280254526789","42.4186655183127","45.2370801269652","43.1207159418055","36.3523174968147","43.0079675515973","49.5822775032304","49.2354966193058",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677298138648","67.5853113898841","68.6277976715135","72.3840975003088","78.86788870154","79.6533178621862","79.3926734584927","87.5386024447076","97.6349633792212","98.0075860877962","97.2525706477931","96.8278056353074","97.6631210860929","97.8543060321274","93.7169810173454","96.8595999313045","100.23015894653","102.40308410817","103.812252334383","108.61087139274",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829640174","9.61589241271337","8.60838993811478","6.5109154667574","5.06197268111518","6.92104948030999","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.4366857499034","17.9248783778462","16.6054144372484","18.0667091690365","16.248014443903","12.7492457826544",
"Armenia","ARM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0029815146094","40.7453883799724","39.8207550211161","47.2189758700553","39.3280393523261","23.9279208283617","23.2400035043381","20.2732693887542","19.0030199716737","20.7582469526567","22.1614188089398","24.1458543956306","27.832108365994","30.4829978923981","28.1907438231723","27.3131979500115","22.1459814355134","18.1893569819725","14.2657295739767","14.6709007461363","19.7484153168252","22.5231882640131","27.5618114828439","28.3534851384818","28.5603816555446","29.7253912120334","33.7442798606396","38.2160456550464","39.3928940286073","41.3508013620849","29.7649869151934","35.9064399901267","50.2249804603907","59.4520856749187",
"American Samoa","ASM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.171875","97.9007633587786","90.3732809430255","99.6","100.405679513185","97.4903474903475","114.464285714286","78.5185185185185","63.5253054101222","58.7719298245614","75.46875","71.7868338557994","66.7185069984448","63.5958395245171","63.9344262295082","59.1503267973856","68.2316118935837","61.6692426584235","59.2233009708738","44.2666666666667","46.9575200918485","",
"Antigua and Barbuda","ATG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.504141999119","70.6912007913569","70.0199146232009","64.5718183599372","62.470548111624","69.2086423595831","41.9109250095166","46.9834793891329","54.689582143537","",
