"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21490","22880","23630","24130","25340","25930","25640","26790","27310","27020","29820","30960","29680","31660","33900","27980","34400","32340","37310","33150","31800","32030","32580","33740","34340","34460","34480","35450","36710","37340","28180","34420","40060","41080",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1717.91066764718","1739.96196879129","1647.15482295989","1669.32466413491","1678.63190583995","1780.07696998576","1863.96300922908","1938.65079720354","1939.18466176137","1959.20153558258","2027.25587576892","2092.60304798643","2160.11088609364","2224.02263533276","2349.96808789479","2506.06668970615","2679.88032518484","2844.11954086392","2932.84087044569","2916.43201295481","2998.73272295936","3106.945336369","3054.55956857241","3160.24032399446","3306.15532596012","3344.15189750881","3459.06442035605","3595.33559554823","3537.89553928067","3631.97650374692","3543.21402038401","3806.83164072795","4118.37761251625","4269.74457326856",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","750","940","980","980","1090","1140","1300","1330","1570","1770","1740","1990","2140","2230","2300","2240","2360","2460","2620","2580","2160","2130","2220",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2979.8140963855","3088.88484541964","3241.49910530978","3373.352803479","3504.5296879979","3657.33238657652","3951.01939140009","3939.37847422592","3906.22252101561","3942.49351319565","4071.28562392048","4333.49169684837","4370.34201860598","4566.10591544451","4939.20003700964","5167.97918386285",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3050","3370","1660","1520","1280","2390","2460","2870","2860","2670","2830","2940","3420","3500","3810","4340","4770","5390","5620","5870","5970","6130","6760","7010","7500","6760","6490","6560","6780","6850","5870","6800","7310","7280",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1880","1740","2110","2300","2710","3050","2780","3110","3550","3980","4440","4780","5130","5560","5980","6760","7490","8270","8670","9530","10210","10450","10750","11360","11800","12270","12800","13680","14600","14270","15890","19090","20940",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63070","58900","63830","75250","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7017.39727891311","7233.77801735961","7641.08113213644","7807.9006564726","7933.82762948262","8162.02266885182","8468.38157229308","8884.68474146008","9271.70969979027","9294.4650501856","9923.99967288193","10119.3881466951","10044.7043396873","10349.6919284096","11411.6053633351","12126.9034770919","13057.8567878777","13738.2608730716","14346.8507518575","14116.9109168676","14605.1709091945","15085.7649850408","15964.0301556437","15869.3198629888","15659.9824858359","14191.309280151","13729.892757522","14309.1152554954","15242.6717280023","15342.1040094116","14012.6985170521","15429.793934903","17041.2354866896","17487.5222494159",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92650","88290","88090","86300","89500","94740","94660","97430","93670","86100","95770","93190","87690","91020","97450","101170","107240","102310","94140","84200","83650","87740","87410","85610","85380","72060","68090","68530","75320","77260","65000","67280","73790","76680",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6840","7710","8510","9350","9960","9710","10280","11160","11540","11160","11190","10800","9450","10490","10770","11930","14350","16020","16850","15680","17240","18560","18970","19500","19090","19530","19660","22790","23540","22590","21790","25770","29050","29460",
