"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76316022872925","4.39526987075806","4.71468019485474","4.79898023605347","4.87220001220703","","4.35698986053467","4.62321996688843","","4.70254993438721","4.82730007171631","5.79739999771118","6.75109004974365","5.91466999053955","6.3472900390625","6.44295978546143","4.85704946517944","5.88826990127563","5.49136018753052","4.45618057250977","4.54875898361206","4.43504333496094","","","","",
"Africa Eastern and Southern","AFE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","","","","","","","","","","","","","","3.88741993904114","3.60612988471985","4.34167003631592","","","3.74496006965637","3.85834002494812","3.7359299659729","","4.28008008003235","","4.02403008937836","4.63901448249817","4.93121004104614","4.78330707550048","4.79265069961548","4.75847005844116","4.66556310653687","4.87887001037598","4.97993087768555","4.94431734085083","4.35243988037109","4.77132606506347","4.62862396240234","",
"Afghanistan","AFG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.68476057052612","4.17489528656006","4.38367223739624","4.81063985824585","3.4794499874115","3.4620099067688","2.60419988632202","3.45445990562439","3.69521999359131","3.2558000087738","4.54397010803223","4.34319019317627","","","","","","",
"Africa Western and Central","AFW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34582495689392","2.46335005760193","2.42614006996155","2.43543004989624","2.36501002311707","2.42751502990722","2.65659999847412","2.55852007865906","","2.49827003479004","2.90790009498596","2.78499007225036","2.6782546043396","2.8104145526886","2.85070991516113","2.66667008399963","2.98419797420501","2.66773080825806","3.36085367202759","3.0234580039978","3.04739952087402","3.39874076843262","3.20348429679871","2.90529441833496","",
"Angola","AGO","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","5.72269010543823","5.05850982666016","","","","","","","","","","","2.56712007522583","","2.60753011703491","","","","","2.12011003494263","2.28146004676819","","","2.92000007629395","3.42131996154785","3.24000000953674","3.08191084861755","3.86999988555908","2.9300000667572","3.09999990463257","2.75493669509888","2.46687889099121","2.18351292610168","2.07306432723999","2.6674473285675","2.2971088886261","2.3321259021759","",
"Albania","ALB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44697999954224","3.81464004516602","3.08350992202759","3.37947010993958","3.53697991371155","3.59293007850647","3.4301700592041","3.45869994163513","3.11779999732971","3.13823008537292","3.22751998901367","3.28154993057251","3.1914598941803","3.27592992782593","3.50922608375549","","3.41307497024536","3.24000835418701","3.30906105041504","3.53929996490479","3.21696710586548","3.43796992301941","3.96209001541138","3.61172008514404","3.15294480323792","3.91623997688293","3.3422999382019","3.02255988121033","2.74432992935181","",
"Andorra","AND","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71327996253967","","","","","1.65971004962921","","1.54411995410919","1.64497005939484","2.24489998817444","2.10469007492065","2.87392997741699","3.14292001724243","2.97662997245789","2.98706007003784","2.56577897071838","2.50616002082825","3.07420992851257","3.28034996986389","3.23707008361816","3.21708989143372","3.2467200756073","3.15060997009277","2.63213038444519","2.58397221565247","2.64728999137878","1.92790997028351",
"Arab World","ARB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.03286671638489","","5.02110004425048","","3.93055999279022","","4.22755002975464","","","","4.12477493286132","","","","","","","3.86020994186401","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86020994186401","3.98417997360229","3.89403009414673","","",
"Argentina","ARG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.4580899477005","","1.93620002269745","1.78051996231079","1.92351996898651","1.84360003471375","1.16563999652863","1.71984004974365","1.93554997444153","2.4002799987793","2.60715007781982","","1.59786999225616","1.61749994754791","2.56972002983093","1.36186003684998","1.261549949646","1.28229999542236","","1.04612004756927","1.06737995147705","","","","","","3.73198008537292","","4.03986978530884","4.52167987823486","4.58030986785889","4.833740234375","4.01734018325806","3.53504991531372","3.48652005195618","3.86000990867615","4.12821006774902","4.46260023117065","4.84440994262695","5.53105020523071","5.01971006393433","5.29062986373901","5.34582996368408","5.43661022186279","5.36144018173218","5.77611017227173","5.54548978805542","5.45431995391846","4.87773990631104","4.7716498374939","5.27689981460571","4.64117002487183","4.80521011352539","",
"Armenia","ARM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84843003749847","","","2.23518991470337","2.77273011207581","2.46943998336792","2.13504004478455","2.1450400352478","2.48673009872437","2.71202993392944","2.71577000617981","3.01893997192383","3.17272996902466","3.84079003334045","3.24900007247925","3.14385008811951","2.77248001098633","2.65018010139465","2.24724006652832","2.80591011047363","2.75812005996704","2.70759010314941","2.25586795806885","2.57191228866577","2.70555996894836","2.76784992218018","2.4918999671936","0.242599993944168",
"American Samoa","ASM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7170495986938","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.52550005912781","","","3.07913994789124","","","","","","","2.22275996208191","","","2.35619330406189","2.64728999137878","2.54248762130737","2.1441957950592","2.25177478790283","2.36592817306519","2.34948754310608","2.30307745933533","2.99340319633484","2.5746488571167","3.6477484703064","",
"Australia","AUS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","6.00085020065308","5.88913011550903","5.64626979827881","","5.47198009490967","5.36459016799927","","5.39764022827148","5.26889991760254","5.05775022506714","4.90722990036011","4.73916006088257","4.66689014434814","4.78484010696411","4.68287992477417","5.50569009780884","5.24490976333618","","","","","","4.75933980941772","5.22261571884155","5.30569648742676","5.24525785446167","5.19307231903076","5.27187633514404","5.16309022903442","4.96966886520386","4.9018235206604","5.39640665054321","6.15043640136719","6.00601577758789","5.55924797058105","5.5196270942688","5.4375524520874","5.46285820007324","5.43038558959961","5.32125568389893","5.40967607498169","5.50858879089355","5.37828016281128","5.33320999145508","5.20677661895752","",
"Austria","AUT","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","4.14716005325317","4.28235006332397","4.45015001296997","4.51547002792358","4.65594005584717","5.12796020507812","5.23765993118286","4.95401000976562","5.1597900390625","5.03815984725952","5.00896978378296","5.36780977249146","5.36298990249634","5.30378007888794","5.29446983337402","5.29721021652222","5.49995994567871","5.3761100769043","5.19073009490967","5.01816987991333","4.95725011825562","5.10321998596191","5.2969799041748","5.2519998550415","","5.42834997177124","5.25990009307861","","6.10374021530151","6.11233997344971","5.58880996704102","5.57547998428345","5.52213001251221","5.36183023452759","5.30243015289307","5.24937009811401","5.22652006149292","5.14690017700195","5.26395988464355","5.73024988174438","5.70047998428345","5.59226989746094","5.48040008544922","5.54711008071899","5.44761991500854","5.45658016204834","5.4796199798584","5.37159013748169","5.22655010223389","5.21779012680054","5.57126998901367","5.49411010742188","4.77447128295898","",
"Azerbaijan","AZE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05797004699707","","","3.33736991882324","3.51256990432739","","3.38001990318298","4.21214008331299","3.85399007797241","3.50342011451721","3.15445995330811","3.2861499786377","3.44770002365112","2.97462010383606","2.55552005767822","2.5492799282074","2.44092988967896","3.22430992126465","2.78062009811401","2.43564009666443","2.06763005256653","2.44213008880615","2.63303995132446","2.95167994499207","2.90340995788574","2.47381997108459","2.45543003082275","3.1764600276947","4.33204984664917","3.7020800113678","3.04690003395081","3.58290028572083",
"Burundi","BDI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","2.80335998535156","","3.34676003456116","","","","","","","","","3.35932993888855","3.49365997314453","3.8058500289917","","4.565269947052","5.01511001586914","4.08324003219604","","","3.41744995117188","2.64547991752625","2.90390992164612","3.00493001937866","","3.74496006965637","3.632159948349","","","5.19290018081665","6.17194986343384","6.67801666259766","6.24009609222412","6.03472852706909","5.99539995193481","7.51637983322144","7.10290956497192","4.96585083007812","5.00918865203857","5.4135274887085","5.34668445587158","5.32158517837524","4.87114191055298","4.82104730606079","",
"Belgium","BEL","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","5.76281976699829","5.73104000091553","5.98883008956909","5.43633985519409","5.38035011291504","5.31063985824585","5.4353199005127","5.31673002243042","","","","4.85229015350342","4.57712984085083","4.30072021484375","","","","","5.37231016159058","5.41103982925415","2.98866009712219","3.04947996139526","","","","5.53273296356201","5.67605495452881","5.78968381881714","5.89130210876465","5.62933778762817","5.79585981369019","5.62658596038818","5.51823377609253","6.33294010162354","6.45809984207153","6.44259023666382","6.43199014663696","6.25576496124268","6.63052988052368","6.59046983718872","6.4515700340271","6.46173000335693","6.42534017562866","6.38107013702393","6.33397006988525","6.80185985565186","6.35551977157593","","",
"Benin","BEN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.74788999557495","1.92193996906281","2.11366009712219","2.36509990692139","2.15949010848999","2.28315997123718","2.56690001487732","2.6566801071167","2.56340003013611","2.36331009864807","2.77728009223938","3.08927011489868","3.67997002601624","4.40000009536743","3.56202006340027","3.3275101184845","3.161789894104","3.17298007011414","2.89910006523132","3.53558993339539","2.93161988258362","2.96520113945007","3.09441518783569","3.20348429679871","3.37785911560059","",
"Burkina Faso","BFA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","1.67982995510101","","1.9617999792099","","","1.75448000431061","","1.76396000385284","","","1.42607998847961","","","","","","3.45110011100769","","1.44026005268097","","","","","","","","","3.94113993644714","3.98218989372253","4.07983016967773","","","3.50222992897034","3.98515009880066","3.60315990447998","4.08343982696533","4.05329990386963","3.67008996009827","","5.62846994400024","5.488609790802","5.40713691711426","5.15086507797241","5.22401523590088","5.27651214599609","",
"Bangladesh","BGD","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","1.13092994689941","0.937600016593933","1.07149994373322","1.01163995265961","1.03267002105713","1.22302997112274","1.27118003368378","1.34349000453949","1.51364004611969","","","1.51911997795105","1.42566001415253","1.63177001476288","1.69262003898621","","","","1.95246994495392","","2.13281989097595","2.12508010864258","2.17193007469177","2.01714992523193","2.06939005851746","1.94014000892639","","2.13128995895386","2.20221996307373","2.0545699596405","1.9394199848175","","2.13269996643066","2.04667067527771","1.96616005897522","2.09871673583984","1.87225413322449","2.22119998931885","1.85040032863617","1.65589129924774","1.68138802051544","1.76528060436249","1.83117997646332","1.71183669567108","1.7752274274826",
"Bulgaria","BGR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","3.52947998046875","","","","","","","","","","4.45406007766724","5.42961978912354","5.26045989990234","4.95048999786377","4.1706600189209","2.37207007408142","2.23007988929749","","2.73942995071411","","4.21983289718628","3.38423991203308","3.38608002662659","3.99845004081726","4.24988985061646","4.10879993438721","3.90346002578735","3.680340051651","4.2190899848938","4.27429008483887","3.85746002197266","3.54690003395081","3.47650003433228","4.05766010284424","4.07005310058594","3.91208434104919","3.39370822906494","4.07755994796753","4.04709005355835","4.19902992248535","4.50513982772827","4.73032999038696","","",
"Bahrain","BHR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","2.01217007637024","2.30781006813049","2.02393007278442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87440991401672","2.57500004768372","2.49677991867065","","2.35114979743958","2.31235384941101","2.64530992507935","2.47689008712769","2.46745991706848","2.66808009147644","2.80248284339905","2.32781004905701","2.38893985748291","2.38460445404053","2.55237460136414","2.22135806083679","1.98779726028442","",
"Bahamas, The","BHS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.23284006118774","","","","","","","","","","2.45165991783142","2.35576629638672","2.38704514503479","2.38595986366272","2.31407165527344","2.29697513580322","2.58660674095154","2.69140648841858","2.48519492149353","2.6171863079071","3.7900116443634","3.00693249702454","2.83657622337341","",
