"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.1","","","","","","","","48.5","","","","","","","","","","55.6","","","","","",
"Albania","ALB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","","","","40.3","","","39.2","","","39","","","","37.8","","41.7","40.6","41.2","40.7","38.2","38.8","38","","","",
"Andorra","AND","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.2","","","","","34.8","","","","","",
"Argentina","ARG","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","46.6","","","","","","48.5","50.6","","","","52.5","50.8","49.9","50.9","53.8","54","53.6","55.1","54.1","55.1","57","57.8","55","52.6","52.1","50.7","50.7","49.5","48.4","48.6","47.9","46.6","46.2","47","","47.5","46.7","46.9","48.3","47.7","47.8","46.6","",
"Armenia","ARM","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2","","43.9","43.5","42.2","45.8","44.7","38.8","40","38.4","37.5","39.4","38.6","38.7","39.4","40.1","40.7","40.2","42.4","43","39.2","35.5","37.7","37.3","",
"American Samoa","ASM","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","38.8","","","","40.2","","","","40.2","","","","","","40","","","","","","40.6","","40.6","40.6","","","","42.7","","42","","","","41.9","","40.8","","41.5","","","","","",
"Austria","AUT","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.7","37.9","37.7","37.3","39.4","38","37.4","","","38","38.5","37.5","38.3","38.7","38.6","39.3","38.4","38.7","38.4","38.9","38.7","38.4","38.6","37.8","38.7","38.2","37.8","38.4","","",
"Azerbaijan","AZE","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","","","","","44.5","36.7","37.4","37.8","37.8","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.6","","","","","","47.8","","","","","","","","42.9","","","","","","","46.3","","","","","","","45","","","",
"Belgium","BEL","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","34.6","","","35","","","","34.2","","","37","","35.8","","","41.4","","","37","39.2","38.2","36.9","38","37.2","37.2","37.2","36.8","36.4","36.4","36.9","36.5","36.4","36.3","36.4","36.5","35.5","36","","",
"Benin","BEN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.2","","","","","","","","50.7","","","","52.1","","","45.5","","","42.3","","",
"Burkina Faso","BFA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","","","","56.6","","","","","49.7","","","","","","47.1","","","","","44.3","","","","50.3","","","45.3","","",
"Bangladesh","BGD","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","35.8","","37.2","","","38.6","","","37.4","","","","42.4","","","","","42.7","","","","","42.5","","","","","41.5","","","","","","41.4","","","","","","42","",
"Bulgaria","BGR","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7","43","41","40.9","42.2","41.1","42.7","42.8","43.9","44.3","46.3","46.6","47.6","46.6","47.4","45.6","","",
"Bahrain","BHR","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8","","","41.8","","","40.7","","","","40.7","","","","","","","","","","","","",
"Belarus","BLR","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.1","39.4","39.1","38.9","38.8","37.6","35.9","36.5","37.1","38.4","36.8","37","37.5","36.3","36.1","36.2","36.7","35.4","35.4","35.5","35.5","35.4","34.8","","","",
"Belize","BLZ","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.3","65.4","","61.3","64.1","59.3","57.7","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2","","54.7","","","","","61.7","","60.5","64.1","60.6","62.3","","59.5","61.9","60.1","58.7","54.8","53.2","","50.6","50.6","51.9","52.3","51.1","49.4","49","47.5","47.3","49","46.7","","",
"Brazil","BRA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","62.3","62.7","63.4","62.9","60","62.8","63.7","65.5","67.3","64.6","","57.1","64.2","","63.8","63.9","63.8","63.8","63.3","","62.5","62.4","61.8","60.8","60.7","60.1","59.3","58.6","58.2","","57.5","58.1","57.5","56.9","56.7","58","57.8","58.3","57.8","54.7","57.5","56.9","",
"Barbados","BRB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9","","","","45.1","","","","","46","","","","","44.4","","","","","37.3","",
"Botswana","BWA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","58.9","","","","","","","","64.3","","","","","","","","","69.4","","","","","","","65","","","","","","58.5","","","","","","","","",
"Central African Republic","CAF","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1","","","","","","","","","","","","","","","","60.8","","","","","","","","","","","","","49.2","","",
"Canada","CAN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","43","","41.2","","40.6","","40.1","","40","","39.8","39.9","","40.3","40.1","38.9","39","38.6","38.3","38.5","39","38.8","38.8","38.6","38.7","39.9","40.3","40.3","40.1","40.4","40.6","40.5","40.7","40.6","40.5","41","40.9","40.9","40.8","40.6","39.9","40.2","40.3","40.1","40.5","39.8","40.3","39.7","39.1","","","","",
"Central Europe and the Baltics","CEB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
