"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4068667315152","46.4744572502162","46.5945443789492","46.5647208571943","46.7206260658866","47.052662629405","47.2534900438323","47.3551615931794","47.3661087392433","47.4154792680516","47.4476205821968","47.4704318631065","47.5056468507736","47.5320522153936","47.5514960836635","47.5675200350375","47.535070007619","47.474895265461","47.4158136163199","47.3844044455452","47.2823260728139","47.3498690054914","47.2419361467871","47.207395009451","47.0649841891428","46.9165521570336","46.7885953494755","46.6760448147056","46.5179565556403","46.3695636319443","46.1494124447299","46.1746425564663","46.1415521816792","47.2781097412577",
"Afghanistan","AFG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0630478417394","17.0417195356184","16.9901454401561","16.8860754068618","16.7396750784594","16.5763093563931","16.3906284297497","16.1885068369994","15.9880888094396","15.7983806264933","15.6363457848375","15.5268867498312","15.4681024024914","15.4540373237616","15.4872829663627","15.5637763476013","15.6961942592096","15.896548904235","16.1551622947386","16.4397545671275","16.7430582537576","17.0434262738665","17.3341342003836","18.2833912859109","19.2702186833505","20.2941507106953","21.3541814997194","22.4631265094613","21.7516226112499","20.9067977474871","19.8349761768377","17.9461351135492","6.86395023176554","6.84624734407811",
"Africa Western and Central","AFW","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4540511651959","46.4109013623036","46.3667564121582","46.2906516542844","46.2300740324037","46.1873276670245","46.1681076700626","46.1410321156867","46.1021102828949","46.0820584583741","46.0926325382965","46.1078348727642","46.1634583665413","46.1556942450236","46.1582998209212","46.1467890005253","46.1372559706554","46.1718366891263","46.1704062020341","46.1837510384949","46.1990141684419","46.2179751794694","46.2183815177252","46.1608787999886","46.1124478134313","46.0336342371322","45.8818873621831","45.7935968406764","45.7060746886055","45.6435254038128","45.4461291950474","45.6041651062727","45.5568477923302","46.3557705106153",
"Angola","AGO","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0763284996688","50.11487084265","50.1434240835956","50.2176365915726","50.3091031539725","50.3348627933847","50.3134295274599","50.299254956052","50.310371951481","50.3548285504038","50.3998512836396","50.4400589522293","50.4730006272579","50.4783114444896","50.4656253200158","50.4458317785284","50.4182606228414","50.3853072600525","50.345680917421","50.3025153593868","50.2612969215801","49.6928851831463","49.6935864846165","49.7012146797074","49.7127962856803","49.7293671462917","49.7466731277636","49.763782635441","49.783801287152","49.8040700912994","49.816717969628","50.0541807630485","49.5188853699635","49.4506384736283",
"Albania","ALB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1321113672118","41.604858871124","41.8171730500404","41.8115885407417","41.8416658269394","41.8500836274286","41.9328298807366","42.2378035648263","42.3619215072885","42.4712013268641","42.6356193866904","42.6901659487498","42.6280650587519","42.768925337026","42.9254401023417","43.1062157656585","43.3166357596483","43.5605418963098","43.8369310544298","42.7477213103187","43.3310063907532","44.7612864054754","43.8492969996312","42.6721811293968","42.04858554715","43.3882963772883","44.4821163582646","43.7711262646417","44.2877541941132","44.8243956703689","44.741529681699","45.0351457227794","44.9838115488655","44.9944538998128",
"Andorra","AND","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9943269661847","20.0596971166362","20.3631997203093","20.1853865552922","20.4722929193431","20.4061314016509","20.4168325384886","20.3170541820473","20.2770261659554","20.570761628125","20.7512252166076","20.8390622623163","20.3728451351542","20.4808056887203","20.5547880958379","20.6287123119041","20.7340994459479","21.144209329225","20.7275853271047","20.9586397731429","20.9346076341197","20.9357451925378","20.7746660157342","20.8177379511293","20.8757285637694","20.994326304483","21.0283398837067","20.5725409792695","19.8176608981159","19.3534179781571","19.3138751414608","19.5215327567232","19.1925923440637","19.1409250676526",
"United Arab Emirates","ARE","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.075690375475","10.2743613291895","10.4008297568205","10.5692452357586","10.6037179811111","10.6528441582551","10.9769059289554","11.3710513339796","11.7344285565706","12.0669096998868","12.3625820383108","12.6019436112347","12.8011690170581","12.9723904651134","13.1168520075454","13.2485692591035","13.6407299472878","14.2885191170818","15.097318451519","15.9916388053778","16.8351040265115","17.6656671307893","18.4287569934559","18.98220841593","19.4189880832349","19.8573647175655","20.2769889956534","20.9879795844786","21.1382938906538","22.3954616384063","24.2940991478092","21.6731244127477","22.8382069251779","23.0509421153007",
"Argentina","ARG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6313192522964","38.3928421009586","39.1398091478196","39.8702436031265","40.4538195855518","40.6178514926634","41.0787568213653","41.5928666354794","41.8685626141034","41.7703644750283","41.7307063921041","41.5075208800309","40.9578712482256","41.2091313237418","41.4591721374085","41.0098110524289","41.3329800969844","41.067381097597","40.7976360050623","41.1465624561473","40.5900049662423","40.4758223030244","40.7365007792398","40.6222954901307","40.7548590472828","40.949878735332","41.1544274598568","41.3536477921114","42.0493149154833","42.2633100586483","42.2659141441896","42.4041313742487","42.9402622703507","43.2479806527258",
