"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","67.783","68.269","68.579","68.992","69.18","69.449","69.901","70.281","70.673","71.135","71.585","72.006","72.785","73.487","73.909","74.284","74.417","74.525","74.615","74.746","74.83","75.298","75.504","75.707","75.855","76.052","76.139","76.117","76.113","76.147","76.196","76.147","76.181","76.218","76.253","76.36","76.403","76.355","76.378","76.466","76.477","76.495","76.555","76.503","76.45","76.56","76.542","76.478","76.944","77.371","78.612","78.62","78.603","78.803","78.614","78.644","78.486","78.794","78.854","79.01","78.445","77.315","77.681","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","45.7183806103453","46.1292972577211","46.4909412946769","46.7827628859112","47.3659930227457","47.4315748953934","47.1258497641414","47.8494622888679","48.1537951452528","48.3984188275567","48.6802503884794","49.2149188894605","48.9222235916987","49.6147439265389","49.5094491431638","49.6397126459819","50.3482371814988","50.7009043204917","50.9451037231998","51.381407004996","51.744969020481","52.2535145111896","52.5234672939039","50.9178335273521","51.0189431901392","51.3236669479768","51.9701115816253","52.5447534813222","51.9094744446538","53.031121503317","53.0154590926943","52.6897654753135","52.3078901496802","52.6587546444537","52.9754085260823","53.1581349329774","52.9502785860664","53.0452487595542","52.6272964420778","53.4175917611146","53.689093328962","53.801446551387","54.134051954363","54.5181083792838","55.0353672802238","55.7288671724384","56.6829677939425","57.5396027311893","58.3838027522857","59.4558100308572","60.3106938233364","61.3009942994997","62.1485679941848","62.9362484750484","63.6414298143848","64.1908027699345","64.8677865156219","65.3050724959961","65.829088628751","66.2188587324487","65.8320081962448","65.0731702843972","65.4803533661015","",
"Afghanistan","AFG","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","33.285","33.813","34.297","34.773","35.246","35.702","36.226","36.711","37.214","37.701","38.233","38.76","39.3","39.857","40.397","40.938","41.483","42.044","41.685","41.143","41.72","42.295","40.833","41.38","37.974","38.316","42.909","43.453","46.569","47.61","48.397","49.144","50.32","52.739","53.544","54.087","54.806","55.151","54.818","56.3","56.858","57.344","57.672","58.65","59.216","59.697","60.243","60.909","61.529","61.892","62.408","62.993","63.514","64.027","64.274","64.576","65.096","66.099","66.458","66.677","65.432","65.279","66.213","",
"Africa Western and Central","AFW","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","39.3819397324622","39.7006434554469","39.9301787734606","40.2771815681766","40.6022183174802","40.8355355489128","41.0249085983126","40.9892522366126","41.5576570248079","41.7739192767344","42.196607048532","42.6612168743179","43.3502461974392","43.905766383277","44.5546507976684","45.30295124565","46.1760096374498","46.9594197893252","47.5839063087263","47.9946974373954","48.3617484151132","48.5967959429787","48.8477268076501","49.1053104503386","49.248949524831","49.386231767218","49.4037571551866","49.7173390112151","49.9419565510783","50.1327376918039","50.2100772739328","50.1415047502676","50.2327534315054","50.3073352424803","50.1071821668765","50.2075182760312","50.3227036427216","50.4787399427165","50.5604161333254","50.9709805547235","51.3481330502988","51.6418329830857","51.9977545033379","52.4870424489997","52.8494605929607","53.3543262063971","53.7850741295676","54.1960478346249","54.481851077747","55.0189555189604","55.3787498107006","55.858945161151","56.1890973905442","56.5430841756786","56.8036842024315","57.084296714422","57.3627853982713","57.7587147653833","58.0308383224671","58.4672093555778","58.2774227756937","58.0355973495197","58.6579867666634","",
"Angola","AGO","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","39.918","40.097","40.399","40.665","40.99","41.384","41.656","42.019","42.454","42.8","43.182","43.5","43.809","44.22","44.596","44.353","44.412","44.68","45.035","45.361","45.608","45.864","46.133","45.435","45.698","45.912","46.037","44.724","45.155","45.33","45.453","46.807","45.484","46.578","47.499","47.829","47.96","48.279","47.618","48.478","48.561","49.606","49.896","51.674","52.657","53.634","54.518","55.815","56.734","57.967","59.039","59.869","61.024","61.684","62.472","63.094","63.434","64.019","64.717","64.922","64.982","64.307","64.541","",
"Albania","ALB","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","57.78","58.9","59.75","60.831","61.851","62.866","63.846","64.698","65.645","66.561","67.371","68.136","68.913","69.504","70.074","70.614","70.948","71.352","71.578","71.861","72.986","73.352","73.79","74.147","74.41","74.589","74.9","75.356","75.796","76.076","76.433","76.631","76.972","77.118","77.258","77.511","77.746","77.316","78.021","78.209","78.419","78.618","78.823","79.057","79.237","79.493","79.686","80.247","80.429","80.544","80.688","80.798","80.703","80.781","81.013","81.183","81.377","81.504","81.608","81.666","79.676","79.173","79.472","",
"Andorra","AND","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","46.7250164776333","47.4405193832305","47.9504858779292","48.6368202898635","49.5029745516369","49.860210879552","50.1380692261706","50.6580971862064","51.1151961956623","51.5397988545645","52.0435390694938","52.945996611956","53.4789309079521","54.2592443314709","54.8517562868725","55.5111052057507","55.8027445609254","56.9458881385654","57.7175796196713","58.4546235392834","59.2323920401002","59.8219800961337","60.330513613191","61.0212886902112","61.6950546549705","62.4137724450024","63.6104354704333","63.5142094460222","63.1905482385638","64.5713180438237","65.0505978834128","65.0630083805324","65.294290964434","66.297719196119","67.23981491578","67.2468572563796","67.5704989065533","67.8897993092731","67.7456520444431","68.6640303462657","69.1721711457912","69.4961511586826","69.8115035569524","69.8581483471187","69.9913199149518","70.2970466223243","70.7615527190962","71.1254347134589","71.3180879009155","71.7407928823777","71.9265809990946","72.1685796682302","72.1998247836186","72.292240737756","72.6001721152834","72.7696781440522","73.1181676225984","73.6220471601586","73.7149602224065","73.8040078868145","72.9973301088014","72.8410268335041","73.2311980848809","",
"United Arab Emirates","ARE","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","52.034","52.794","53.765","54.642","55.775","56.894","58.184","59.421","60.539","61.829","63.121","64.31","65.185","66.47","67.239","68.035","68.816","69.535","70.28","70.965","71.67","72.006","72.604","72.876","73.412","73.64","73.775","74.513","74.648","74.788","74.922","75.04","74.99","75.524","75.595","75.633","75.343","75.534","75.676","76.193","76.617","76.998","77.35","78.521","78.784","79.033","79.289","79.52","79.75","79.982","80.203","80.415","80.623","80.828","81.023","81.212","81.396","81.626","81.79","81.907","81.112","80.937","81.412","",
"Argentina","ARG","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN","67.617","68.031","68.031","68.285","68.261","68.493","68.761","68.99","69.035","69.047","69.705","69.493","69.91","70.35","70.747","71.269","71.489","72.173","72.321","72.548","72.549","73.089","73.039","73.21","73.151","73.253","73.638","74.004","74.381","74.735","74.963","75.635","75.719","75.94","76.049","76.243","76.418","76.464","76.758","76.989","77.223","77.59","78.075","77.276","78.103","78.527","78.716","78.515","78.927","79.07","78.838","79.322","79.953","79.927","80.004","80.188","79.67","80.085","80.329","80.681","79.285","78.647","79.277","",
