"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","60.582","60.88","61.023","61.372","61.522","61.686","62.329","62.702","62.966","63.335","63.715","64.073","64.516","64.868","65.259","65.428","65.807","66.14","66.491","66.908","67.372","68.178","68.456","68.587","68.751","68.861","68.954","69.581","70.082","70.039","70.096","70.142","70.177","70.223","70.27","70.311","70.447","70.491","70.54","70.591","70.597","70.724","70.817","70.91","70.63","70.965","71.384","71.797","71.256","71.644","72.126","72.223","72.346","72.361","72.448","72.569","72.582","72.838","73.096","73.286","72.828","71.798","72.145","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","42.5602949585578","42.7616399520665","43.1339795168371","43.1728629205419","43.7296025998833","43.7008034806713","43.5116314766805","44.1278125970815","44.4157229468358","44.5898689090631","44.8784551340603","45.3150875024332","45.0229318794421","45.9296549811417","45.863655932104","46.0487275134945","46.5146603958488","46.7349929136487","46.7622434222984","47.3022339832394","47.7067618942431","48.0627670301996","48.2900373793417","46.7380897461283","46.5618710723403","46.9546119543398","47.5446383841955","47.8264516551639","47.0262894773168","48.4875758703293","48.3459951462226","48.1985984446313","47.7267560714986","47.9993256128835","48.8744590625051","48.8904288904713","48.6999104430931","48.9188537651709","48.0859162453361","49.1267600130946","50.2547608863082","50.5899706750944","50.9539809713729","51.5135850255003","52.0293737035826","52.6776403219842","53.5863992310527","54.2959282076393","54.9390047183762","55.7552637680583","56.4780753734213","57.2591874704967","57.9313258076774","58.4727165568316","59.0304872456788","59.5194396829735","60.0237723977828","60.5404215087662","60.9076769049659","61.2906389488368","60.8146701583646","59.8897971445722","60.3523788451447","",
"Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","31.87","32.409","32.883","33.346","33.828","34.289","34.768","35.225","35.712","36.206","36.692","37.178","37.681","38.241","38.792","39.35","39.892","40.492","39.022","37.314","37.799","38.312","35.212","35.518","29.793","29.896","36.389","36.739","41.572","42.891","43.709","44.353","45.07","50.216","49.531","51.039","51.722","52.153","51.134","53.41","53.762","54.272","55.227","56.032","56.658","57.013","57.133","57.342","58.172","58.82","59.278","59.825","60.317","60.791","60.812","60.76","61.193","60.105","59.923","60.619","59.866","58.915","59.766","",
"Africa Western and Central","AFW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","36.4511437792434","36.7655625095666","37.5724331059489","37.8834204973638","38.1047726654254","38.4295847541566","38.6770147505216","38.0206450947149","38.6675066982821","38.9716057730838","39.888699666817","40.4625639908436","41.1593530264755","41.8113766630961","42.4460873546862","43.1069832631498","43.843780331215","44.4981809828182","44.979854215574","45.378967662117","45.6974832095768","46.0258240833146","46.2400172663081","46.496753547998","46.64483339943","46.6889790196847","46.759515793037","46.8055135028763","47.1162850636386","47.2787232299219","47.1476143293298","47.2132679642094","47.2697999500173","47.3824311654883","47.2753456696061","47.3764645699886","47.5018658698367","47.6878073657038","48.0881393858714","48.5108848651762","49.0579325686845","49.4450932210912","49.8102941348902","50.2692998409925","50.7293597379121","51.2668616991063","51.8020925272201","52.2229679060775","52.7038596043582","53.203597449946","53.6199917820905","54.0610174696902","54.379432365001","54.6891975411612","54.9268349333591","55.1905687032449","55.6735147932303","55.9002919614185","56.2331202844031","56.5421774937958","56.1059515071883","55.8809373327667","56.5394566304979","",
"Angola","AGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","36.585","34.704","34.95","35.247","35.539","35.884","36.144","36.466","36.837","37.192","37.543","37.933","38.313","38.642","39.026","38.397","38.303","38.575","38.99","39.344","39.63","39.997","40.274","39.118","39.367","39.712","39.948","37.575","38.322","38.557","38.674","41.009","39.189","38.161","39.733","43.885","44.118","44.35","42.582","42.455","43.562","43.714","44.94","47.568","48.532","49.508","50.227","51.473","52.527","53.537","54.415","55.314","56.22","56.925","57.606","58.213","58.741","59.331","59.582","59.977","59.584","59.029","59.351","",
"Albania","ALB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","51.365","52.618","53.82","55.071","56.313","57.358","58.328","59.409","60.401","61.426","62.407","63.222","64.037","64.866","65.55","66.121","66.537","66.964","67.117","67.384","68.048","68.194","68.354","68.551","68.705","68.84","69.12","69.476","69.643","69.853","70.05","70.321","70.66","70.957","71.202","71.428","71.669","70.773","72.19","72.401","72.646","72.921","73.22","73.499","73.786","74.033","74.243","75.1","75.163","75.316","75.493","75.693","75.73","75.786","76.114","76.404","76.639","76.873","77.037","77.168","74.632","74.087","74.502","",
"Andorra","AND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","43.3096156379346","43.9927016460681","44.3841892225619","45.3756191059302","46.3596047257401","46.6595364638116","46.8177901142287","47.2031274726713","47.7800206153831","48.0919221993689","48.6217202035","49.6094381476251","50.1830871932326","50.7628151620451","51.4524025776511","51.838857174598","52.3018579055577","53.5944284335778","54.3394214189743","55.0360301634168","55.2570641088027","55.505606834999","55.7276288978538","56.4374915980176","57.1311240736593","57.8787899395672","58.7440743822818","58.7210204129392","57.9655649524969","60.1921180012591","60.6091018937321","61.0285575199668","61.339451718788","62.323952768912","63.5133800356132","63.1964054463201","63.618843603339","63.8804495582238","63.6374292965026","64.8917955523936","65.2538183942924","65.60475495456","65.9114770744678","65.7545928291419","65.7149920104038","65.9579263561416","66.341913288846","66.7036119152961","67.1618932656672","67.7416786784319","67.9444792582906","68.1696137070329","68.0413927653787","68.0409336720486","68.3373171690764","68.7038166769016","68.7803631710269","69.2315817199891","69.4507926696963","69.7307525552496","68.7930353627337","68.6557218437547","69.1048829270716","",
"United Arab Emirates","ARE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","46.613","47.606","48.646","49.584","50.967","52.131","53.298","54.424","55.692","56.956","58.249","59.478","60.683","61.656","62.74","63.484","64.229","64.911","65.589","66.199","66.865","67.496","68.037","68.317","68.824","69.075","69.303","69.768","69.907","70.09","70.262","70.698","70.831","70.938","71.027","71.152","71.365","71.555","71.704","72.348","73.166","73.388","73.631","74.984","75.202","75.417","75.639","75.825","76.027","76.233","76.459","76.665","76.931","77.084","77.331","77.563","77.684","77.871","78.028","78.175","77.464","77.216","77.72","",
"Argentina","ARG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","60.916","61.24","61.035","61.178","61.037","61.235","61.525","61.524","61.317","61.243","61.971","62.028","62.361","62.708","62.803","63.291","63.367","63.93","64.38","64.708","64.826","65.125","65.083","65.518","65.44","66.141","66.655","67.148","67.711","68.09","68.552","68.957","69.095","69.16","70.18","69.95","70.123","69.705","70.149","70.407","70.583","70.749","70.752","70.83","71.53","71.692","72.066","71.487","72.276","72.694","72.516","72.841","72.939","73.011","73.424","73.294","72.933","73.526","73.631","73.857","72.546","72.182","72.851","",
