"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","","","","","","","","","","97","","","","","","","","","","97.9899978637695","","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.8662109375","57.2684593200684","57.6187515258789","58.1487617492676","58.1818008422852","58.4699516296387","58.9126014709473","59.3459014892578","59.9219398498535","60.4498596191406","61.1914596557617","61.4049110412598","62.2657089233398","62.7700996398926","63.2581901550293","63.9522705078125","64.4423522949219","64.6767501831055","64.1336822509766","62.1792793273926","63.1340789794922","63.3671798706055","64.0625","64.8099975585938","66.8712768554688","68.5478668212891","69.380859375","70.0353088378906","70.4470901489258","71.1051712036133","71.0299835205078","71.4953994750977","72.6586608886719","72.8557586669922","72.6389083862305","72.981559753418","73.2751083374023",
"Afghanistan","AFG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","33.7538414001465","","","","","","37","","",
"Africa Western and Central","AFW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","40.2946510314941","40.5508308410645","41.2901382446289","41.9709281921387","42.7977905273438","43.5705184936523","44.3627090454102","45.1366310119629","45.9582710266113","46.8300895690918","47.0022201538086","47.8648910522461","48.866340637207","50.2389717102051","51.0898094177246","47.5773811340332","48.7651214599609","49.4976081848145","50.0791091918945","51.4278602600098","51.5404205322266","52.2236213684082","50.2877006530762","50.7298393249512","50.8575706481934","51.4170799255371","52.0264892578125","52.5731086730957","53.4217491149902","54.1411399841309","55.0066184997559","55.4657783508301","56.4721984863281","59.7473487854004","59.5536689758301","59.703239440918","60.0073204040527","60.2908515930176","60.5055503845215",
"Angola","AGO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","","","","","","","","","","","","","66","66.2358627319336","","","","","","","72.4000015258789","",
"Albania","ALB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","96","","","97","97","","","","","98.8162307739258","","","","","98.5","",
"Andorra","AND","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","46.4753112792969","46.9594688415527","47.5302581787109","48.1042404174805","48.7809181213379","48.8991813659668","49.7140998840332","50.5120010375977","51.3138809204102","52.0972290039062","52.9797286987305","53.8549308776855","54.795768737793","55.8037490844727","56.8901710510254","57.6767883300781","58.6223487854004","59.6062889099121","60.7434005737305","61.8547515869141","63.0504188537598","64.1246185302734","65.1314315795898","66.2609481811523","67.2946319580078","70.01904296875","70.8691711425781","71.4038467407227","69.1949996948242","70.0446472167969","71.0101776123047","69.7459564208984","70.4397125244141","72.2035903930664","73.0683670043945","73.8112869262695","74.3166122436523","75.0205383300781","73.7179565429688","74.2122116088867","74.5541229248047","74.8075180053711","75.1214599609375","75.5395736694336","75.8184585571289","76.1542587280273",
"United Arab Emirates","ARE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","54","","","","","","","","","","71","","","","","","","","","","","","","","","","","","","","90","","","","","","","","","","","","","","98","","98","98","",
"Argentina","ARG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","94","","","","","","","","","","","96","","","","","","","","","","97","","","","","","","","","","","","","","","","","","","","","","",
