"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","","","","99","","","","","","","","","","99.5199966430664","","","",
"Africa Eastern and Southern","AFE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3540802001953","69.6617202758789","70.1606521606445","70.6780395507812","70.7310562133789","70.2703704833984","70.3367767333984","70.3896484375","70.6878280639648","70.8486862182617","71.1988220214844","70.4212036132812","71.3284912109375","71.4637832641602","71.591796875","73.4561996459961","73.6616134643555","73.7213516235352","72.9759216308594","71.0197906494141","72.1286010742188","72.5692825317383","73.1919097900391","74.4655227661133","77.0578536987305","78.9262924194336","79.8278274536133","80.2618789672852","80.673210144043","81.2940063476562","81.5758514404297","81.930549621582","82.4668884277344","82.6135864257812","82.8045425415039","83.0362701416016","83.2203903198242",
"Afghanistan","AFG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","","35.8208389282227","","","","","","56","62.6599998474121","",
"Africa Western and Central","AFW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","55.1050109863281","55.4148483276367","56.1561393737793","56.5539398193359","57.2284698486328","57.9081611633301","58.555850982666","59.2260284423828","59.9453582763672","60.8136596679688","60.4066390991211","61.210521697998","62.0921592712402","63.4318504333496","64.0087966918945","59.7314491271973","61.0024490356445","61.4752311706543","61.761791229248","63.1298484802246","63.2174987792969","63.8351898193359","62.4822082519531","62.5066299438477","62.6007881164551","63.0821800231934","63.7593803405762","64.4192276000977","65.3868408203125","66.2248764038086","67.1864166259766","67.654426574707","68.7007675170898","71.0514373779297","70.8111419677734","70.9240188598633","71.2661209106445","71.6054229736328","71.8480911254883",
"Angola","AGO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","","","","","","77","75.6608123779297","","","","","","","83.3000030517578","",
"Albania","ALB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","99","95.6800003051758","","99","99","","","","","99.0240631103516","","","","","99.5","",
"Andorra","AND","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","62.3525390625","62.733211517334","63.3318290710449","64.0846099853516","64.9818115234375","65.6541519165039","66.8365173339844","67.9769287109375","69.0765914916992","70.0949401855469","71.1256103515625","72.1785430908203","73.3038330078125","74.6261520385742","75.6945419311523","75.3842468261719","76.24072265625","77.1418380737305","78.0922164916992","79.0215377807617","79.7765197753906","80.5431365966797","81.234489440918","82.0530090332031","82.7627487182617","83.8683471679688","84.5279769897461","84.9026107788086","83.4982299804688","84.4188613891602","85.2429809570312","82.7206192016602","83.2076110839844","83.9602890014648","85.0381927490234","85.7600173950195","85.925666809082","86.1038513183594","84.6962432861328","85.019401550293","85.2940521240234","85.5621109008789","85.8522033691406","86.1807403564453","86.3932113647461","86.58056640625",
"United Arab Emirates","ARE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","63","","","","","","","","","","82","","","","","","","","","","","","","","","","","","","","95","","","","","","","","","","","","","","98","","100","100","",
"Argentina","ARG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","97","","","","","","","","","","","98","","","","","","","","","","99","","","","","","","","","","","","","","","","","","","","","","",
